rank,recipient_name,amount,fraction,address,scheme_id,scheme,scheme_1,counts,latitude,longitude
1,not available,679730291.06,0.5874416340406977,NOUSIAINEN,b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ ec00d1395dc58b565abc70500f4602c53747efb1 _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ fd194209a0f99aecd4bd45346022d967b53f5c1f _&_ c622603023459ffbd7d5413130ce7c1f7fa2d262 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716 _&_ 96e830420e116b9c67d7761fcd217e51d748257a _&_ e99ac5c92087b6643b7cb36921f4809df25e566f _&_ 87c6dc840f22a94f2fa45cef67d696600f345de9 _&_ 267c6286a2fa8897d037c04ac17950a4f3b954b8,VI.19 _&_ II.7 _&_ II.1 _&_ VI.15 _&_ II.4 _&_ VI.16 _&_ VI.18 _&_ VI.6 _&_ II.6 _&_ II.10 _&_ VI.4 _&_ II.11 _&_ V/B.2.4 _&_ V.1,National _&_ EAGF _&_ EAFRD,257048,,
2,luonnonvarakeskus,2649398.39,0.002289683040341383,HELSINKI,ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ e494e36044d922b6495fa5ab9f9bb797de6a1a91 _&_ a88cdc4d55d3056d5362a34ca28b5dea865daf05 _&_ 7b172f12bc410253518372e46823216c7a857c21 _&_ 55ee0e9e03e82e9028e85776f66a78737f276e32 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ df6edca01bf13388eb18528622472ecc5db99198 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ b42ec9d695f40a196ffb2fd4456e184226889bc3 _&_ 040d5cbeb296c0c665bc820cc81fed686ed82716,VI.21 _&_ VI.1 _&_ II.1 _&_ II.4 _&_ II.7 _&_ VI.15 _&_ VI.7 _&_ VI.18 _&_ VI.24 _&_ VI.19 _&_ II.10,National _&_ EAFRD _&_ EAGF,28,,
3,proagria itä-suomi ry,2473256.11,0.0021374560318532165,KUOPIO,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,VI.2 _&_ V.8 _&_ VI.21 _&_ VI.1 _&_ VI.24,National _&_ EAFRD,14,,
4,andelslaget närpes grönsaker,2367846.4,0.0020463580579942143,NÄRPIÖ,b905eca258259a1dbfdbe2f2d3573800a95c6327,IV.5,EAGF,1,,
5,proagria etelä-suomi ry,2359410.11,0.002039067183881317,HÄMEENLINNA,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b,V.8 _&_ VI.2 _&_ VI.21 _&_ VI.1 _&_ VI.24 _&_ VI.7,National _&_ EAFRD,18,,
6,suomen metsäkeskus - finlands skogscentral,2231652.17,0.0019286552542934262,LAHTI,ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,VI.21 _&_ VI.1 _&_ VI.7 _&_ VI.24,National _&_ EAFRD,12,,
7,valio oy,1796860.81,0.001552896588916203,HELSINKI,141bc77784b65c7c4d14bce3d0ba4f914978ff7c,IV.3,EAGF,1,,
8,proagria oulu ry,1633136.92,0.0014114018950088369,OULU,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ ba90013a92ee3fa1895b18b70992e7a25e867a0b,VI.2 _&_ V.8 _&_ VI.21 _&_ VI.1 _&_ VI.7,National _&_ EAFRD,16,,
9,proagria etelä-pohjanmaa ry,1579075.25,0.001364680311196169,SEINÄJOKI,2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ 9e328d254aa6157ee3b4f7985edba31e37f7e706 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,VI.2 _&_ VI.21 _&_ V.8 _&_ VI.1 _&_ VI.24,National _&_ EAFRD,14,,
10,proagria länsi-suomi ry,1496487.08,0.0012933053406007384,TURKU,4fe32c61105e0421457f32fc9d3b0d0c69af754b _&_ 2b1351297f9d38f59530bc598ff84e4da9326d77 _&_ ddfdb97f46cfeb55934bcc18cb4d733562f7a8d4 _&_ 12e667f2468f92e4442ccc751d739bf51c34b896,V.8 _&_ VI.2 _&_ VI.21 _&_ VI.24,National _&_ EAFRD,12,,
